,Lawyer Names,0,1,2,3,4,5,6,7,8,Gender
874,Kanav Kapadia,"Kanav Kapadia has 15 years of experience in Human Rights Law, Corporate Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 252.11669122949564 USD per hour,He takes 85.86240060155315 Avg Days for Disposal,"He speaks: Hindi, Hindi and Urdu","He practices at Borra-Bera, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
875,Kanav Khalsa,"Kanav Khalsa has 25 years of experience in Civil Law, Corporate Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 174.66145199133095 USD per hour,He takes 111.50749257989767 Avg Days for Disposal,"He speaks: Malayalam, Marathi and Hindi","He practices at Cheema, Gara and Saxena, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
876,Kanav Khatri,"Kanav Khatri has 10 years of experience in Labor Law, Immigration Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 111.36699726325627 USD per hour,He takes 91.52584812707654 Avg Days for Disposal,"He speaks: Odia, Odia and Telugu","He practices at Sampath Inc, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
877,Kanav Kibe,"Kanav Kibe has 12 years of experience in Real Estate Law, Banking and Finance Law, and Human Rights Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 193.6925960096183 USD per hour,He takes 101.94645549963165 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Hindi","He practices at Sen, Amble and Mannan, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
878,Kanav Kuruvilla,"Kanav Kuruvilla has 7 years of experience in Human Rights Law, Corporate Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 237.23180168390877 USD per hour,He takes 119.29660797408862 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Tamil","He practices at Bose, Dua and Mangal, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
879,Kanav Sahni,"Kanav Sahni has 27 years of experience in Intellectual Property Law, Tax Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 233.55240655108568 USD per hour,He takes 73.11517548299122 Avg Days for Disposal,"He speaks: Kannada, Kannada and Malayalam","He practices at Thaker and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
880,Kanav Walla,"Kanav Walla has 29 years of experience in Criminal Law, Consumer Protection Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 175.19773418096997 USD per hour,He takes 101.92384670813338 Avg Days for Disposal,"He speaks: Assamese, Gujarati and Telugu","He practices at Venkataraman-Zachariah, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
881,Kartik Bhatia,"Kartik Bhatia has 6 years of experience in Banking and Finance Law, Human Rights Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 348.06733696073906 USD per hour,He takes 88.19119217289796 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Assamese","He practices at Kothari Group, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
882,Kartik Deshmukh,"Kartik Deshmukh has 28 years of experience in Family Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 240.1006055138956 USD per hour,He takes 89.51244160413466 Avg Days for Disposal,"He speaks: Hindi, Tamil and Urdu","He practices at Bal-Bath, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
883,Kartik Goel,"Kartik Goel has 9 years of experience in Medical Law, Labor Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 121.72769814713098 USD per hour,He takes 68.96446074864262 Avg Days for Disposal,"He speaks: Telugu, Tamil and Malayalam","He practices at Chhabra, Bandi and Ray, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
884,Kartik Loke,"Kartik Loke has 4 years of experience in Real Estate Law, Criminal Law, and Tax Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 349.37277630660986 USD per hour,He takes 107.5599244397649 Avg Days for Disposal,"He speaks: Hindi, Bengali and Gujarati","He practices at Chaudhry, Dayal and Dave, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
885,Kartik Mannan,"Kartik Mannan has 23 years of experience in Human Rights Law, Real Estate Law, and Banking and Finance Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 369.5779699655723 USD per hour,He takes 81.16119403807399 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Urdu","He practices at Baral, Singh and Savant, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
886,Kartik Ramakrishnan,"Kartik Ramakrishnan has 22 years of experience in Medical Law, Constitutional Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 449.07419276103167 USD per hour,He takes 62.86098428117613 Avg Days for Disposal,"He speaks: Kannada, Hindi and Assamese","He practices at Shankar-Soni, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
887,Kartik Sheth,"Kartik Sheth has 22 years of experience in Constitutional Law, Environmental Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 283.52181391914064 USD per hour,He takes 88.94664569138061 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Marathi","He practices at Wason, Tripathi and Baria, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
888,Kartik Sidhu,"Kartik Sidhu has 20 years of experience in Medical Law, Labor Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 67.80087795317591 USD per hour,He takes 107.69913195057697 Avg Days for Disposal,"He speaks: Assamese, Hindi and Gujarati","He practices at Sengupta, Ghosh and Wadhwa, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
889,Kartik Thaker,"Kartik Thaker has 28 years of experience in Immigration Law, Labor Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 424.47310417810326 USD per hour,He takes 79.38840682781718 Avg Days for Disposal,"He speaks: Urdu, Kannada and Punjabi","He practices at Sampath, Borra and Kala, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
890,Kartik Viswanathan,"Kartik Viswanathan has 18 years of experience in Human Rights Law, Banking and Finance Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 192.61085621834494 USD per hour,He takes 104.47154841453668 Avg Days for Disposal,"He speaks: Marathi, Kannada and Assamese","He practices at Brar, Bhavsar and Gala, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
891,Kartik Wali,"Kartik Wali has 4 years of experience in Civil Law, Constitutional Law, and Medical Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 352.08699060392587 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Gujarati, Gujarati and Punjabi","He practices at Din-Rajagopal, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
892,Kashvi Aurora,"Kashvi Aurora has 17 years of experience in Constitutional Law, Real Estate Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 147.26111553991433 USD per hour,He takes 77.43928815476299 Avg Days for Disposal,"He speaks: Marathi, Gujarati and Kannada","He practices at Andra, Banik and Andra, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
893,Kashvi Bali,"Kashvi Bali has 23 years of experience in Banking and Finance Law, Labor Law, and Corporate Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 122.73696220306631 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Hindi, Tamil and Bengali","He practices at Shere-Lanka, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Female
894,Kashvi Bhat,"Kashvi Bhat has 4 years of experience in Criminal Law, Consumer Protection Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 280.8847482656224 USD per hour,He takes 93.10709155167852 Avg Days for Disposal,"He speaks: Urdu, Punjabi and Hindi","He practices at Bhat-Wable, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
895,Kashvi Bhatnagar,"Kashvi Bhatnagar has 3 years of experience in Media and Entertainment Law, Consumer Protection Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 481.09070896200075 USD per hour,He takes 77.19100637309916 Avg Days for Disposal,"He speaks: Malayalam, Assamese and Telugu","He practices at Samra-Lad, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Female
896,Kashvi Butala,"Kashvi Butala has 21 years of experience in Intellectual Property Law, Media and Entertainment Law, and Environmental Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 59.96050296327368 USD per hour,He takes 98.35312083552219 Avg Days for Disposal,"He speaks: Punjabi, Kannada and Kannada","He practices at Brar-D’Alia, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
897,Kashvi Date,"Kashvi Date has 9 years of experience in Medical Law, Immigration Law, and Criminal Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 463.94192035874426 USD per hour,He takes 109.48724730821502 Avg Days for Disposal,"He speaks: Urdu, Marathi and Tamil","He practices at Bajaj LLC, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
898,Kashvi Dugal,"Kashvi Dugal has 23 years of experience in Banking and Finance Law, Real Estate Law, and Labor Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 50.35527999194846 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Urdu and Hindi","He practices at Mallick, Rege and Gokhale, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
899,Kashvi Goel,"Kashvi Goel has 6 years of experience in Medical Law, Family Law, and Immigration Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 372.04819343254013 USD per hour,He takes 69.56934943717863 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Marathi","He practices at Basak PLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Female
900,Kashvi Kuruvilla,"Kashvi Kuruvilla has 18 years of experience in Family Law, Civil Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 450.35933565724923 USD per hour,He takes 102.23631729978104 Avg Days for Disposal,"He speaks: Odia, Hindi and Urdu","He practices at Sama-Dhar, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
901,Kashvi Salvi,"Kashvi Salvi has 22 years of experience in Constitutional Law, Real Estate Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 114.65943133289574 USD per hour,He takes 103.25410178991254 Avg Days for Disposal,"He speaks: Tamil, Malayalam and Marathi","He practices at Bains-Kulkarni, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
902,Kashvi Sangha,"Kashvi Sangha has 5 years of experience in Banking and Finance Law, Constitutional Law, and Human Rights Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 452.3411161660305 USD per hour,He takes 100.84012237332448 Avg Days for Disposal,"He speaks: Punjabi, Kannada and Hindi","He practices at Thakur Group, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
903,Kavya Garde,"Kavya Garde has 24 years of experience in Human Rights Law, Corporate Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 168.08723676329652 USD per hour,He takes 76.07670048977974 Avg Days for Disposal,"He speaks: Bengali, Odia and Malayalam","He practices at Chakraborty-Barad, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
904,Kavya Gera,"Kavya Gera has 11 years of experience in Consumer Protection Law, Media and Entertainment Law, and Consumer Protection Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 129.2874827739114 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Kannada, Gujarati and Tamil","He practices at Venkataraman LLC, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
905,Kavya Jha,"Kavya Jha has 10 years of experience in Criminal Law, Consumer Protection Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 264.2255159679778 USD per hour,He takes 93.67435639758006 Avg Days for Disposal,"He speaks: Odia, Malayalam and Telugu","He practices at Srinivas, Wason and Loke, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
906,Kavya Rattan,"Kavya Rattan has 25 years of experience in Consumer Protection Law, Real Estate Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 121.8872571052749 USD per hour,He takes 76.64146784113478 Avg Days for Disposal,"He speaks: Hindi, Kannada and Malayalam","He practices at Sem and Sons, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
907,Kavya Saran,"Kavya Saran has 21 years of experience in Consumer Protection Law, Criminal Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 74.10945182333356 USD per hour,He takes 66.64573369940283 Avg Days for Disposal,"He speaks: Telugu, Assamese and Assamese","He practices at Kalita PLC, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
908,Kavya Sawhney,"Kavya Sawhney has 4 years of experience in Criminal Law, Labor Law, and Family Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 321.80224898277504 USD per hour,He takes 82.36359292032645 Avg Days for Disposal,"He speaks: Hindi, Punjabi and Tamil","He practices at Gala-Sehgal, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
909,Keya Chokshi,"Keya Chokshi has 1 years of experience in Family Law, Environmental Law, and Criminal Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 283.2798319848793 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Marathi, Gujarati and Urdu","He practices at Ahluwalia, Koshy and Agarwal, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
910,Keya Dar,"Keya Dar has 6 years of experience in Real Estate Law, Tax Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 448.217036080235 USD per hour,He takes 79.39939847440492 Avg Days for Disposal,"He speaks: Malayalam, Gujarati and Odia","He practices at Gaba-Sidhu, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
911,Keya Dhawan,"Keya Dhawan has 14 years of experience in Civil Law, Tax Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 117.63978011778595 USD per hour,He takes 89.42514246453942 Avg Days for Disposal,"He speaks: Gujarati, Gujarati and Telugu","He practices at Sathe Ltd, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Female
912,Keya Kari,"Keya Kari has 17 years of experience in Criminal Law, Family Law, and Medical Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 480.1910264717325 USD per hour,He takes 87.75957756525538 Avg Days for Disposal,"He speaks: Telugu, Telugu and Hindi","He practices at Bhasin-Sule, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
913,Keya Mander,"Keya Mander has 20 years of experience in Human Rights Law, Criminal Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 394.83683200350504 USD per hour,He takes 58.43125801852001 Avg Days for Disposal,"He speaks: Hindi, Odia and Malayalam","He practices at Walla-Raju, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
914,Keya Sangha,"Keya Sangha has 22 years of experience in Real Estate Law, Civil Law, and Medical Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 253.34107009352502 USD per hour,He takes 93.46067623612444 Avg Days for Disposal,"He speaks: Urdu, Bengali and Odia","He practices at Khare-Kapadia, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
915,Khushi Bassi,"Khushi Bassi has 21 years of experience in Real Estate Law, Criminal Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 279.37542722160435 USD per hour,He takes 84.71319402543388 Avg Days for Disposal,"He speaks: Odia, Gujarati and Punjabi","He practices at Srinivas, Shan and D’Alia, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
916,Khushi Devan,"Khushi Devan has 20 years of experience in Banking and Finance Law, Human Rights Law, and Consumer Protection Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 337.66829743161327 USD per hour,He takes 95.94550434701027 Avg Days for Disposal,"He speaks: Punjabi, Urdu and Kannada","He practices at Butala, Kunda and Joshi, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
917,Khushi Jaggi,"Khushi Jaggi has 26 years of experience in Labor Law, Media and Entertainment Law, and Constitutional Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 217.15850270051217 USD per hour,He takes 97.44951922469843 Avg Days for Disposal,"He speaks: Tamil, Malayalam and Kannada","He practices at Sane-Bhatia, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Female
918,Khushi Johal,"Khushi Johal has 14 years of experience in Tax Law, Consumer Protection Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 255.04736969889137 USD per hour,He takes 118.33918193255994 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Marathi","He practices at Rattan, Tank and Rau, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
919,Khushi Kohli,"Khushi Kohli has 8 years of experience in Consumer Protection Law, Human Rights Law, and Environmental Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 138.69771747064348 USD per hour,He takes 93.08183530554454 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Telugu","He practices at Gera-Sachar, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
920,Khushi Shenoy,"Khushi Shenoy has 13 years of experience in Civil Law, Banking and Finance Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 271.28207435854523 USD per hour,He takes 96.91195865423951 Avg Days for Disposal,"He speaks: Telugu, Odia and Bengali","He practices at Anand, Kota and Bansal, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
921,Khushi Srivastava,"Khushi Srivastava has 15 years of experience in Civil Law, Intellectual Property Law, and Media and Entertainment Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 73.5562302940909 USD per hour,He takes 94.86987353253778 Avg Days for Disposal,"He speaks: Punjabi, Odia and Marathi","He practices at Kapoor, Ramanathan and Anand, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
922,Khushi Taneja,"Khushi Taneja has 13 years of experience in Media and Entertainment Law, Family Law, and Banking and Finance Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 469.1949831979341 USD per hour,He takes 113.40383294296396 Avg Days for Disposal,"He speaks: Kannada, Bengali and Bengali","He practices at Mani Ltd, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
923,Khushi Thaker,"Khushi Thaker has 5 years of experience in Corporate Law, Human Rights Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 437.46502998750816 USD per hour,He takes 100.40735180788653 Avg Days for Disposal,"He speaks: Odia, Hindi and Urdu","He practices at Bhavsar, Tata and Kumer, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
924,Khushi Thakkar,"Khushi Thakkar has 24 years of experience in Immigration Law, Media and Entertainment Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 146.85971922542916 USD per hour,He takes 118.77909500814312 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Marathi","He practices at Wali and Sons, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
925,Khushi Vaidya,"Khushi Vaidya has 4 years of experience in Constitutional Law, Banking and Finance Law, and Intellectual Property Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 411.3840390519852 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Punjabi, Tamil and Kannada","He practices at Lad, Bal and Sathe, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
926,Khushi Verma,"Khushi Verma has 27 years of experience in Corporate Law, Human Rights Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 317.16760232814556 USD per hour,He takes 99.95396802841144 Avg Days for Disposal,"He speaks: Tamil, Bengali and Bengali","He practices at Kapoor-Mahajan, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
927,Khushi Wable,"Khushi Wable has 19 years of experience in Family Law, Medical Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 374.1679457294913 USD per hour,He takes 84.36749939886644 Avg Days for Disposal,"He speaks: Urdu, Kannada and Hindi","He practices at Gill, Sachdev and Gara, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
928,Kiaan Aggarwal,"Kiaan Aggarwal has 27 years of experience in Corporate Law, Tax Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 272.67280547963907 USD per hour,He takes 111.40992977392153 Avg Days for Disposal,"He speaks: Bengali, Bengali and Bengali","He practices at Sarma, Jayaraman and Bhattacharyya, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
929,Kiaan Bansal,"Kiaan Bansal has 12 years of experience in Constitutional Law, Constitutional Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 183.90682239836696 USD per hour,He takes 74.2491781526522 Avg Days for Disposal,"He speaks: Urdu, Tamil and Kannada","He practices at Jani, Bora and Garde, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
930,Kiaan Bhardwaj,"Kiaan Bhardwaj has 6 years of experience in Immigration Law, Real Estate Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 243.25155368541616 USD per hour,He takes 84.14386892579293 Avg Days for Disposal,"He speaks: Hindi, Tamil and Bengali","He practices at Bera, Rana and Dugar, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
931,Kiaan Das,"Kiaan Das has 20 years of experience in Criminal Law, Real Estate Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 200.01552715245325 USD per hour,He takes 93.59809128427088 Avg Days for Disposal,"He speaks: Hindi, Bengali and Malayalam","He practices at Dar Inc, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
932,Kiaan Dutt,"Kiaan Dutt has 24 years of experience in Civil Law, Constitutional Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 389.21617084026605 USD per hour,He takes 91.833645068206 Avg Days for Disposal,"He speaks: Bengali, Malayalam and Gujarati","He practices at Lall-Magar, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Male
933,Kiaan Gaba,"Kiaan Gaba has 29 years of experience in Family Law, Medical Law, and Media and Entertainment Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 306.2670746614663 USD per hour,He takes 91.3409291839742 Avg Days for Disposal,"He speaks: Gujarati, Gujarati and Odia","He practices at Bose, Lalla and Krishna, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
934,Kiaan Gupta,"Kiaan Gupta has 8 years of experience in Real Estate Law, Real Estate Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 71.13399008345029 USD per hour,He takes 115.15673805280306 Avg Days for Disposal,"He speaks: Tamil, Bengali and Tamil","He practices at Maharaj-Chowdhury, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
935,Kiaan Koshy,"Kiaan Koshy has 8 years of experience in Medical Law, Real Estate Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 222.56650515876913 USD per hour,He takes 107.80616518112633 Avg Days for Disposal,"He speaks: Telugu, Tamil and Odia","He practices at Mangat Group, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
936,Kiaan Ravel,"Kiaan Ravel has 11 years of experience in Tax Law, Criminal Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 178.81656592243243 USD per hour,He takes 83.52816533160173 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Hindi","He practices at Gole-Mammen, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
937,Kiaan Shenoy,"Kiaan Shenoy has 16 years of experience in Consumer Protection Law, Constitutional Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 474.48955034336734 USD per hour,He takes 70.94456930512371 Avg Days for Disposal,"He speaks: Assamese, Marathi and Kannada","He practices at Tailor, Ramachandran and Bala, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
938,Kiara Doctor,"Kiara Doctor has 7 years of experience in Corporate Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 378.15811209390563 USD per hour,He takes 93.71220821460157 Avg Days for Disposal,"He speaks: Bengali, Gujarati and Hindi","He practices at Dalal, Rau and Bala, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
939,Kiara Karpe,"Kiara Karpe has 7 years of experience in Constitutional Law, Medical Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 79.25035502699983 USD per hour,He takes 80.12425923089332 Avg Days for Disposal,"He speaks: Marathi, Assamese and Telugu","He practices at Ravel, Bhatti and Ganesan, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
