,Lawyer Names,Information,First_Name
953,Taimur Shah,"Taimur Shah has 5 years of experience in Corporate Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 339.2609225729371 USD per hour. He takes 91.76382944830803 Avg Days for Disposal. He speaks: Hindi, Urdu and Punjabi. He practices at Kapoor, Keer and Ramachandran, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Taimur
956,Suhana Kohli,"Suhana Kohli has 19 years of experience in Human Rights Law, Family Law, and Constitutional Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 204.05033710744584 USD per hour. He takes 76.55448678262229 Avg Days for Disposal. He speaks: Odia, Malayalam and Urdu. He practices at Ray-Sule, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Suhana
962,Rasha Ranganathan,"Rasha Ranganathan has 1 years of experience in Constitutional Law, Medical Law, and Intellectual Property Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 310.0446866484091 USD per hour. He takes 94.25766850954105 Avg Days for Disposal. He speaks: Odia, Hindi and Tamil. He practices at Reddy-Sibal, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Rasha
966,Anahi Dar,"Anahi Dar has 4 years of experience in Real Estate Law, Real Estate Law, and Consumer Protection Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 74.04557107595772 USD per hour. He takes 86.68602412590582 Avg Days for Disposal. He speaks: Marathi, Punjabi and Odia. He practices at Baral-Das, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Anahi
967,Shalv Lata,"Shalv Lata has 1 years of experience in Tax Law, Human Rights Law, and Tax Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 471.89765183330235 USD per hour. He takes 92.86686350754589 Avg Days for Disposal. He speaks: Marathi, Punjabi and Kannada. He practices at Koshy-Keer, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Individuals.",Shalv
981,Aaina Sani,"Aaina Sani has 18 years of experience in Constitutional Law, Environmental Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 471.19738055079995 USD per hour. He takes 99.87214554003845 Avg Days for Disposal. He speaks: Assamese, Gujarati and Assamese. He practices at Chawla-Ravel, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaina
982,Neelofar Acharya,"Neelofar Acharya has 12 years of experience in Criminal Law, Labor Law, and Constitutional Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 355.1551256914909 USD per hour. He takes 84.07074677975729 Avg Days for Disposal. He speaks: Telugu, Marathi and Urdu. He practices at Jha-Hayre, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Neelofar
986,Dharmajan Chaudhari,"Dharmajan Chaudhari has 5 years of experience in Civil Law, Labor Law, and Corporate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 174.76628735713376 USD per hour. He takes 91.0455640414392 Avg Days for Disposal. He speaks: Assamese, Punjabi and Bengali. He practices at Contractor PLC, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Dharmajan
987,Ehsaan Mahajan,"Ehsaan Mahajan has 27 years of experience in Real Estate Law, Medical Law, and Consumer Protection Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 498.5074750706059 USD per hour. He takes 80.24015067995708 Avg Days for Disposal. He speaks: Gujarati, Bengali and Bengali. He practices at Anand PLC, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Ehsaan
991,Ryan Barad,"Ryan Barad has 15 years of experience in Family Law, Tax Law, and Family Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 72.12237311977167 USD per hour. He takes 95.40339055616143 Avg Days for Disposal. He speaks: Malayalam, Bengali and Bengali. He practices at Chad-Barad, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Ryan
1008,Stuvan Dora,"Stuvan Dora has 15 years of experience in Intellectual Property Law, Consumer Protection Law, and Media and Entertainment Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 468.87478887911334 USD per hour. He takes 100.87621566671262 Avg Days for Disposal. He speaks: Assamese, Urdu and Malayalam. He practices at Bawa and Sons, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Stuvan
1024,Rania Bhatt,"Rania Bhatt has 29 years of experience in Tax Law, Corporate Law, and Immigration Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 143.89336092129395 USD per hour. He takes 97.12887907075967 Avg Days for Disposal. He speaks: Punjabi, Urdu and Malayalam. He practices at Balakrishnan Group, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Rania
1026,Ryan Kala,"Ryan Kala has 10 years of experience in Immigration Law, Intellectual Property Law, and Real Estate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 85.41435951837926 USD per hour. He takes 65.1716293171585 Avg Days for Disposal. He speaks: Kannada, Kannada and Urdu. He practices at Ganesh-Uppal, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Individuals.",Ryan
1027,Ivana Amble,"Ivana Amble has 24 years of experience in Human Rights Law, Media and Entertainment Law, and Civil Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 321.6898147269258 USD per hour. He takes 98.76786077756152 Avg Days for Disposal. He speaks: Kannada, Marathi and Gujarati. He practices at Choudhry, Aurora and Rajan, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Ivana
1034,Taimur Lalla,"Taimur Lalla has 5 years of experience in Tax Law, Civil Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 383.7370183779294 USD per hour. He takes 81.76261587354335 Avg Days for Disposal. He speaks: Kannada, Odia and Assamese. He practices at Dyal, Wason and Borra, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Taimur
1044,Aaina Singhal,"Aaina Singhal has 19 years of experience in Constitutional Law, Medical Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 446.7727878779283 USD per hour. He takes 88.93319563754496 Avg Days for Disposal. He speaks: Urdu, Bengali and Assamese. He practices at Rastogi, Shan and Chandran, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Aaina
1047,Aaryahi Rajagopalan,"Aaryahi Rajagopalan has 23 years of experience in Media and Entertainment Law, Immigration Law, and Criminal Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 326.2306752534759 USD per hour. He takes 101.59271757815584 Avg Days for Disposal. He speaks: Hindi, Kannada and Bengali. He practices at Dayal Ltd, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaryahi
1069,Nehmat Bajwa,"Nehmat Bajwa has 5 years of experience in Civil Law, Immigration Law, and Media and Entertainment Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 445.6419519134222 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Marathi, Bengali and Hindi. He practices at Kulkarni Group, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Nehmat
1078,Emir Sunder,"Emir Sunder has 5 years of experience in Human Rights Law, Media and Entertainment Law, and Human Rights Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 148.69418054512192 USD per hour. He takes 85.73061743619482 Avg Days for Disposal. He speaks: Marathi, Kannada and Kannada. He practices at Sood Group, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Emir
1087,Dharmajan Chada,"Dharmajan Chada has 13 years of experience in Immigration Law, Labor Law, and Immigration Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 67.0190614484159 USD per hour. He takes 104.63735005932845 Avg Days for Disposal. He speaks: Punjabi, Odia and Assamese. He practices at Raja-Raman, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Dharmajan
1088,Shayak Kant,"Shayak Kant has 27 years of experience in Family Law, Human Rights Law, and Banking and Finance Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 105.37345561564621 USD per hour. He takes 90.13286555503343 Avg Days for Disposal. He speaks: Hindi, Kannada and Kannada. He practices at Yadav-Kunda, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Individuals.",Shayak
1123,Nehmat Behl,"Nehmat Behl has 27 years of experience in Banking and Finance Law, Constitutional Law, and Criminal Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 322.56465820694405 USD per hour. He takes 93.57256959209442 Avg Days for Disposal. He speaks: Tamil, Telugu and Hindi. He practices at Reddy Ltd, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Nehmat
1125,Indrans Upadhyay,"Indrans Upadhyay has 19 years of experience in Intellectual Property Law, Intellectual Property Law, and Banking and Finance Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 222.38121637692802 USD per hour. He takes 93.30946206460744 Avg Days for Disposal. He speaks: Bengali, Odia and Gujarati. He practices at Ranganathan-Ahuja, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Indrans
1126,Aaina Kurian,"Aaina Kurian has 7 years of experience in Corporate Law, Criminal Law, and Labor Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 441.09458092612783 USD per hour. He takes 84.71868378819178 Avg Days for Disposal. He speaks: Urdu, Telugu and Punjabi. He practices at Mall-Tiwari, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Aaina
1142,Suhana Ghosh,"Suhana Ghosh has 23 years of experience in Family Law, Tax Law, and Medical Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 239.50350699533672 USD per hour. He takes 100.7209759127655 Avg Days for Disposal. He speaks: Punjabi, Tamil and Bengali. He practices at Savant, Khatri and Ganguly, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Individuals.",Suhana
1143,Dharmajan Sandhu,"Dharmajan Sandhu has 5 years of experience in Media and Entertainment Law, Banking and Finance Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 234.73525295814252 USD per hour. He takes 109.16784982545771 Avg Days for Disposal. He speaks: Telugu, Bengali and Gujarati. He practices at Barad-Bassi, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Dharmajan
1147,Rasha Bhandari,"Rasha Bhandari has 25 years of experience in Labor Law, Constitutional Law, and Human Rights Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 74.89957422350574 USD per hour. He takes 85.30745290422716 Avg Days for Disposal. He speaks: Punjabi, Kannada and Assamese. He practices at Borde-Kumar, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Rasha
1152,Ryan Ranganathan,"Ryan Ranganathan has 12 years of experience in Medical Law, Banking and Finance Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 487.9151201421089 USD per hour. He takes 89.16221726020784 Avg Days for Disposal. He speaks: Malayalam, Punjabi and Gujarati. He practices at Shanker, Kumer and Madan, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Ryan
1154,Abram Sidhu,"Abram Sidhu has 17 years of experience in Criminal Law, Corporate Law, and Intellectual Property Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 205.62285663931726 USD per hour. He takes 110.17281046771042 Avg Days for Disposal. He speaks: Urdu, Telugu and Bengali. He practices at Ray Inc, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Abram
1163,Aaryahi Sama,"Aaryahi Sama has 18 years of experience in Labor Law, Constitutional Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 344.2000653302704 USD per hour. He takes 42.9222800064894 Avg Days for Disposal. He speaks: Punjabi, Tamil and Hindi. He practices at Banik, Chaudhari and Chauhan, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaryahi
1164,Stuvan Rajagopal,"Stuvan Rajagopal has 15 years of experience in Intellectual Property Law, Human Rights Law, and Criminal Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 224.17250537069913 USD per hour. He takes 87.94515633459086 Avg Days for Disposal. He speaks: Bengali, Marathi and Odia. He practices at Ganesh Inc, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Stuvan
1166,Aaina Gopal,"Aaina Gopal has 15 years of experience in Human Rights Law, Labor Law, and Corporate Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 70.1457749098191 USD per hour. He takes 90.89857885194658 Avg Days for Disposal. He speaks: Kannada, Odia and Hindi. He practices at Issac, Vaidya and Varma, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Aaina
1170,Indrans Goel,"Indrans Goel has 8 years of experience in Immigration Law, Tax Law, and Immigration Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 449.5179381511185 USD per hour. He takes 112.52929447782893 Avg Days for Disposal. He speaks: Malayalam, Bengali and Telugu. He practices at Sem, Venkatesh and Chauhan, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Indrans
1172,Shanaya Mangat,"Shanaya Mangat has 17 years of experience in Real Estate Law, Criminal Law, and Family Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 420.1915672372502 USD per hour. He takes 101.78018404515424 Avg Days for Disposal. He speaks: Telugu, Malayalam and Malayalam. He practices at Master LLC, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Shanaya
1174,Abram Sanghvi,"Abram Sanghvi has 19 years of experience in Medical Law, Civil Law, and Constitutional Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 227.33764182951433 USD per hour. He takes 119.7807059289044 Avg Days for Disposal. He speaks: Bengali, Malayalam and Kannada. He practices at Balay, Master and Cheema, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Individuals.",Abram
1193,Parinaaz Deol,"Parinaaz Deol has 6 years of experience in Human Rights Law, Intellectual Property Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 108.65825587165631 USD per hour. He takes 81.93032206767067 Avg Days for Disposal. He speaks: Bengali, Kannada and Bengali. He practices at Soni-Gill, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Parinaaz
1202,Kismat Jayaraman,"Kismat Jayaraman has 23 years of experience in Immigration Law, Civil Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 160.15994285077664 USD per hour. He takes 104.93540631555543 Avg Days for Disposal. He speaks: Telugu, Hindi and Gujarati. He practices at Thakur-Chand, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Kismat
1206,Emir Bhagat,"Emir Bhagat has 5 years of experience in Labor Law, Consumer Protection Law, and Consumer Protection Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 234.93227361615646 USD per hour. He takes 103.88515136570804 Avg Days for Disposal. He speaks: Kannada, Punjabi and Gujarati. He practices at Dey, Devan and Chaudhuri, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Emir
1211,Neelofar Karpe,"Neelofar Karpe has 20 years of experience in Human Rights Law, Real Estate Law, and Corporate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 473.1786652754949 USD per hour. He takes 80.72452469933805 Avg Days for Disposal. He speaks: Marathi, Malayalam and Hindi. He practices at Keer and Sons, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Neelofar
1212,Ivana Zacharia,"Ivana Zacharia has 28 years of experience in Medical Law, Human Rights Law, and Banking and Finance Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 167.2998721529458 USD per hour. He takes 78.07659529497464 Avg Days for Disposal. He speaks: Odia, Marathi and Odia. He practices at Sarin and Sons, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Ivana
1222,Ryan Arora,"Ryan Arora has 25 years of experience in Consumer Protection Law, Civil Law, and Criminal Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 104.85014543616154 USD per hour. He takes 101.66394092688408 Avg Days for Disposal. He speaks: Punjabi, Hindi and Telugu. He practices at Bhavsar-Bhardwaj, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Ryan
1223,Aaryahi Sarin,"Aaryahi Sarin has 2 years of experience in Banking and Finance Law, Labor Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 279.3906801053921 USD per hour. He takes 68.1186241120396 Avg Days for Disposal. He speaks: Urdu, Assamese and Kannada. He practices at Jha and Sons, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaryahi
1238,Siya Issac,"Siya Issac has 1 years of experience in Consumer Protection Law, Human Rights Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 78.46820231930366 USD per hour. He takes 92.49727908865721 Avg Days for Disposal. He speaks: Urdu, Gujarati and Hindi. He practices at Bera and Sons, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Siya
1246,Kismat Banerjee,"Kismat Banerjee has 6 years of experience in Family Law, Constitutional Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 67.36620287216023 USD per hour. He takes 102.28148956273225 Avg Days for Disposal. He speaks: Telugu, Urdu and Gujarati. He practices at Jha-Tak, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Kismat
1247,Farhan Ramanathan,"Farhan Ramanathan has 5 years of experience in Medical Law, Labor Law, and Tax Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 445.4965156607835 USD per hour. He takes 106.60161777936493 Avg Days for Disposal. He speaks: Odia, Assamese and Telugu. He practices at Biswas, Karan and Saini, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Farhan
1265,Shanaya Dasgupta,"Shanaya Dasgupta has 2 years of experience in Banking and Finance Law, Tax Law, and Media and Entertainment Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 379.2673727254182 USD per hour. He takes 103.18521231835511 Avg Days for Disposal. He speaks: Bengali, Tamil and Telugu. He practices at Dube Group, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Shanaya
1271,Nehmat Ramaswamy,"Nehmat Ramaswamy has 9 years of experience in Intellectual Property Law, Human Rights Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 247.402263561372 USD per hour. He takes 94.21788026865413 Avg Days for Disposal. He speaks: Tamil, Tamil and Kannada. He practices at Tiwari-Dass, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Nehmat
1283,Mamooty Vaidya,"Mamooty Vaidya has 14 years of experience in Immigration Law, Environmental Law, and Civil Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 144.28365094063946 USD per hour. He takes 106.26750795436388 Avg Days for Disposal. He speaks: Tamil, Odia and Odia. He practices at Char-Sarin, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Mamooty
1285,Aaryahi Warrior,"Aaryahi Warrior has 24 years of experience in Family Law, Criminal Law, and Civil Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 458.7968965425192 USD per hour. He takes 99.41520626811712 Avg Days for Disposal. He speaks: Tamil, Urdu and Marathi. He practices at Anand, Bedi and Guha, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Aaryahi
1309,Suhana Bains,"Suhana Bains has 14 years of experience in Real Estate Law, Family Law, and Tax Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 410.60842622161186 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Urdu, Bengali and Tamil. He practices at Jha Group, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Suhana
1312,Ryan Dhar,"Ryan Dhar has 25 years of experience in Family Law, Family Law, and Medical Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 232.73695965189694 USD per hour. He takes 78.23754212460251 Avg Days for Disposal. He speaks: Gujarati, Tamil and Marathi. He practices at Rao-Bhagat, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Ryan
1317,Siya Bera,"Siya Bera has 8 years of experience in Real Estate Law, Immigration Law, and Labor Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 209.06486380777045 USD per hour. He takes 101.35548097580966 Avg Days for Disposal. He speaks: Kannada, Gujarati and Bengali. He practices at Krishnan Ltd, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Siya
1322,Dhanuk D’Alia,"Dhanuk D’Alia has 19 years of experience in Tax Law, Banking and Finance Law, and Environmental Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 94.53588053391806 USD per hour. He takes 92.0997314448203 Avg Days for Disposal. He speaks: Marathi, Gujarati and Assamese. He practices at Kala-Bhatnagar, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Dhanuk
1329,Rania Srivastava,"Rania Srivastava has 25 years of experience in Labor Law, Human Rights Law, and Family Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 68.4402000124507 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Gujarati, Telugu and Odia. He practices at Som Ltd, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Rania
1330,Shalv Edwin,"Shalv Edwin has 17 years of experience in Labor Law, Medical Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 367.2784778924206 USD per hour. He takes 83.84955882691634 Avg Days for Disposal. He speaks: Kannada, Telugu and Assamese. He practices at Hegde-Sarraf, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Shalv
1332,Kismat Sule,"Kismat Sule has 15 years of experience in Family Law, Corporate Law, and Corporate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 95.33877978180934 USD per hour. He takes 91.36687300880065 Avg Days for Disposal. He speaks: Telugu, Telugu and Tamil. He practices at Dar-Dhar, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Kismat
1333,Ivana Chaudry,"Ivana Chaudry has 23 years of experience in Consumer Protection Law, Banking and Finance Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 368.3852685401193 USD per hour. He takes 91.61549173659928 Avg Days for Disposal. He speaks: Marathi, Tamil and Urdu. He practices at Uppal-Banerjee, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Ivana
1338,Seher Sandal,"Seher Sandal has 8 years of experience in Family Law, Human Rights Law, and Constitutional Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 129.05253408586304 USD per hour. He takes 91.19474373920887 Avg Days for Disposal. He speaks: Kannada, Assamese and Kannada. He practices at Bir-Malhotra, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Seher
1348,Aaryahi Gour,"Aaryahi Gour has 10 years of experience in Constitutional Law, Medical Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 165.70332679941254 USD per hour. He takes 95.14737831296125 Avg Days for Disposal. He speaks: Malayalam, Kannada and Bengali. He practices at Kaur-Sampath, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Aaryahi
1358,Nirvaan Bhavsar,"Nirvaan Bhavsar has 29 years of experience in Human Rights Law, Constitutional Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 236.68108263571773 USD per hour. He takes 70.00982338462194 Avg Days for Disposal. He speaks: Tamil, Kannada and Bengali. He practices at Kale-Kunda, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Nirvaan
1359,Dhanuk Keer,"Dhanuk Keer has 6 years of experience in Corporate Law, Media and Entertainment Law, and Human Rights Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 379.7255369359879 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Punjabi, Telugu and Telugu. He practices at Gour LLC, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Dhanuk
1362,Aaina Rege,"Aaina Rege has 29 years of experience in Consumer Protection Law, Banking and Finance Law, and Environmental Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 162.481541557773 USD per hour. He takes 96.74150273920893 Avg Days for Disposal. He speaks: Bengali, Telugu and Marathi. He practices at Gala LLC, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Aaina
1379,Shanaya Golla,"Shanaya Golla has 4 years of experience in Immigration Law, Corporate Law, and Medical Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 313.6383727375647 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Gujarati, Assamese and Urdu. He practices at Arora, Chada and Wagle, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Shanaya
1380,Ivana Tak,"Ivana Tak has 13 years of experience in Real Estate Law, Human Rights Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 489.2352496126335 USD per hour. He takes 89.84471565138395 Avg Days for Disposal. He speaks: Gujarati, Urdu and Telugu. He practices at D’Alia LLC, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Ivana
1381,Dharmajan Gour,"Dharmajan Gour has 24 years of experience in Immigration Law, Environmental Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 289.53696373167486 USD per hour. He takes 87.3918926952812 Avg Days for Disposal. He speaks: Gujarati, Bengali and Urdu. He practices at Sarna-Setty, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Dharmajan
1385,Stuvan Sane,"Stuvan Sane has 29 years of experience in Banking and Finance Law, Environmental Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 248.339724548593 USD per hour. He takes 90.29993229309629 Avg Days for Disposal. He speaks: Odia, Bengali and Gujarati. He practices at Golla, Anne and Iyengar, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Stuvan
