Lawyer Names,0,1,2,3,4,5,6,7,8
Veer Tella,"Veer Tella has 24 years of experience in Constitutional Law, Medical Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 276.7499585560731 USD per hour,He takes 79.66332303417315 Avg Days for Disposal,"He speaks: Tamil, Malayalam and Urdu","He practices at Sani LLC, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Dhruv Wason,"Dhruv Wason has 25 years of experience in Constitutional Law, Labor Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 368.9445345555446 USD per hour,He takes 97.01535155788328 Avg Days for Disposal,"He speaks: Urdu, Tamil and Assamese","He practices at Randhawa Group, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Manikya Boase,"Manikya Boase has 3 years of experience in Consumer Protection Law, Banking and Finance Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 162.02458615859274 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Bengali, Odia and Gujarati","He practices at Dugar-Grewal, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Darshit Batta,"Darshit Batta has 3 years of experience in Criminal Law, Labor Law, and Medical Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 195.99720288577979 USD per hour,He takes 107.56652957504339 Avg Days for Disposal,"He speaks: Malayalam, Punjabi and Kannada","He practices at Mannan, Chahal and Krishnan, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Devansh Bath,"Devansh Bath has 27 years of experience in Labor Law, Immigration Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 200.3969017670516 USD per hour,He takes 71.15151996081846 Avg Days for Disposal,"He speaks: Telugu, Marathi and Tamil","He practices at Hegde, Balan and Raval, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Kabir Sahota,"Kabir Sahota has 29 years of experience in Banking and Finance Law, Real Estate Law, and Human Rights Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 61.58408438624729 USD per hour,He takes 109.3380457711031 Avg Days for Disposal,"He speaks: Tamil, Tamil and Urdu","He practices at Chaudhuri, Sampath and Mallick, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Manikya Kothari,"Manikya Kothari has 18 years of experience in Immigration Law, Corporate Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 203.47154277378058 USD per hour,He takes 85.22762247573107 Avg Days for Disposal,"He speaks: Bengali, Marathi and Assamese","He practices at Konda, Venkatesh and Devi, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Kiara Yogi,"Kiara Yogi has 29 years of experience in Real Estate Law, Corporate Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 411.4870580831151 USD per hour,He takes 99.01099522718387 Avg Days for Disposal,"He speaks: Telugu, Kannada and Gujarati","He practices at Ravel, Anand and Sarin, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Individuals.
Trisha Ganesh,"Trisha Ganesh has 26 years of experience in Intellectual Property Law, Consumer Protection Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 453.78432308738235 USD per hour,He takes 76.40677001929183 Avg Days for Disposal,"He speaks: Marathi, Kannada and Gujarati","He practices at Rajan, Rajagopal and Kamdar, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Dhanush Chauhan,"Dhanush Chauhan has 19 years of experience in Intellectual Property Law, Immigration Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 283.19824203616736 USD per hour,He takes 92.12969870811008 Avg Days for Disposal,"He speaks: Urdu, Telugu and Bengali","He practices at Jani, Johal and Sharma, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.
Kaira Raman,"Kaira Raman has 19 years of experience in Family Law, Tax Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 254.9757628486491 USD per hour,He takes 94.7058477434536 Avg Days for Disposal,"He speaks: Tamil, Hindi and Malayalam","He practices at Shan and Sons, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Saksham Yadav,"Saksham Yadav has 21 years of experience in Constitutional Law, Criminal Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 63.871078414716614 USD per hour,He takes 67.73092812120521 Avg Days for Disposal,"He speaks: Punjabi, Urdu and Assamese","He practices at Doshi, Edwin and Dara, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Nehmat Bajwa,"Nehmat Bajwa has 5 years of experience in Civil Law, Immigration Law, and Media and Entertainment Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 445.6419519134222 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Marathi, Bengali and Hindi","He practices at Kulkarni Group, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Divit Sampath,"Divit Sampath has 18 years of experience in Media and Entertainment Law, Intellectual Property Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 55.85459604164272 USD per hour,He takes 110.18902511757473 Avg Days for Disposal,"He speaks: Bengali, Bengali and Kannada","He practices at Krishnan and Sons, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Saira Sundaram,"Saira Sundaram has 28 years of experience in Criminal Law, Media and Entertainment Law, and Family Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 475.1375360945953 USD per hour,He takes 87.38028081477557 Avg Days for Disposal,"He speaks: Assamese, Telugu and Tamil","He practices at Yohannan, Ramanathan and Dua, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Vihaan Tandon,"Vihaan Tandon has 10 years of experience in Immigration Law, Civil Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 270.1473119096408 USD per hour,He takes 110.4025219624202 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Punjabi","He practices at Varkey-Krishnan, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Bhavin Dhar,"Bhavin Dhar has 29 years of experience in Media and Entertainment Law, Consumer Protection Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 203.87052210862697 USD per hour,He takes 87.15459759821388 Avg Days for Disposal,"He speaks: Tamil, Telugu and Bengali","He practices at Lata, Barad and Chaudhari, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Damini Dora,"Damini Dora has 22 years of experience in Consumer Protection Law, Media and Entertainment Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 465.898295679197 USD per hour,He takes 102.74376796569926 Avg Days for Disposal,"He speaks: Tamil, Gujarati and Telugu","He practices at Ramanathan PLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Raunak Mammen,"Raunak Mammen has 21 years of experience in Intellectual Property Law, Labor Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 60.97594689954353 USD per hour,He takes 56.721450510733504 Avg Days for Disposal,"He speaks: Malayalam, Punjabi and Urdu","He practices at Dubey LLC, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Baiju Gulati,"Baiju Gulati has 6 years of experience in Real Estate Law, Corporate Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 311.6412026910892 USD per hour,He takes 126.28166668970195 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Punjabi","He practices at Das, Jayaraman and Wali, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Amira Bal,"Amira Bal has 1 years of experience in Family Law, Medical Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 297.0196360247019 USD per hour,He takes 112.43187367864435 Avg Days for Disposal,"He speaks: Hindi, Odia and Urdu","He practices at Kaur-Wali, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Emir Sunder,"Emir Sunder has 5 years of experience in Human Rights Law, Media and Entertainment Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 148.69418054512192 USD per hour,He takes 85.73061743619482 Avg Days for Disposal,"He speaks: Marathi, Kannada and Kannada","He practices at Sood Group, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Shray Gupta,"Shray Gupta has 9 years of experience in Banking and Finance Law, Family Law, and Media and Entertainment Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 242.99934410759477 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Malayalam, Hindi and Tamil","He practices at Divan, Chopra and Mammen, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Samarth Gade,"Samarth Gade has 12 years of experience in Real Estate Law, Media and Entertainment Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 343.5188026746966 USD per hour,He takes 94.32042552458233 Avg Days for Disposal,"He speaks: Tamil, Gujarati and Tamil","He practices at Arora-Handa, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Mohanlal Keer,"Mohanlal Keer has 26 years of experience in Criminal Law, Banking and Finance Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 377.2090385968674 USD per hour,He takes 68.34111679389365 Avg Days for Disposal,"He speaks: Kannada, Gujarati and Gujarati","He practices at Gour and Sons, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Elakshi Chana,"Elakshi Chana has 14 years of experience in Civil Law, Corporate Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 50.3225864179609 USD per hour,He takes 96.67280306336232 Avg Days for Disposal,"He speaks: Assamese, Kannada and Punjabi","He practices at Kapur Inc, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Individuals.
Purab Andra,"Purab Andra has 2 years of experience in Family Law, Consumer Protection Law, and Banking and Finance Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 471.5840435409569 USD per hour,He takes 96.17348578746423 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Tamil","He practices at Wagle and Sons, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Misha Khare,"Misha Khare has 17 years of experience in Human Rights Law, Labor Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 124.03641757676557 USD per hour,He takes 75.87895246496963 Avg Days for Disposal,"He speaks: Kannada, Tamil and Odia","He practices at Chauhan LLC, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Arnav Konda,"Arnav Konda has 14 years of experience in Family Law, Consumer Protection Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 155.11119540006163 USD per hour,He takes 106.81450535421567 Avg Days for Disposal,"He speaks: Hindi, Punjabi and Urdu","He practices at Setty Inc, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Yuvaan Kadakia,"Yuvaan Kadakia has 26 years of experience in Labor Law, Civil Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 168.5630505622317 USD per hour,He takes 102.0836205420926 Avg Days for Disposal,"He speaks: Tamil, Odia and Gujarati","He practices at Raj, Tandon and Maharaj, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Dharmajan Chada,"Dharmajan Chada has 13 years of experience in Immigration Law, Labor Law, and Immigration Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 67.0190614484159 USD per hour,He takes 104.63735005932845 Avg Days for Disposal,"He speaks: Punjabi, Odia and Assamese","He practices at Raja-Raman, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Shayak Kant,"Shayak Kant has 27 years of experience in Family Law, Human Rights Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 105.37345561564621 USD per hour,He takes 90.13286555503343 Avg Days for Disposal,"He speaks: Hindi, Kannada and Kannada","He practices at Yadav-Kunda, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.
Jayesh Kala,"Jayesh Kala has 9 years of experience in Environmental Law, Family Law, and Immigration Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 493.8574653248729 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Hindi, Urdu and Tamil","He practices at Baral, Saran and Kalita, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Piya Bath,"Piya Bath has 26 years of experience in Labor Law, Immigration Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 191.84753181977874 USD per hour,He takes 104.66808408316706 Avg Days for Disposal,"He speaks: Bengali, Urdu and Malayalam","He practices at Bhargava LLC, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.
Neysa Gupta,"Neysa Gupta has 25 years of experience in Labor Law, Human Rights Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 101.8854906525722 USD per hour,He takes 85.94442901296313 Avg Days for Disposal,"He speaks: Bengali, Hindi and Marathi","He practices at Gaba-Tara, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Tejas Subramanian,"Tejas Subramanian has 15 years of experience in Criminal Law, Real Estate Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 98.14606752858049 USD per hour,He takes 69.15329785210997 Avg Days for Disposal,"He speaks: Odia, Urdu and Assamese","He practices at Mahajan, Ravel and Kibe, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Bhamini Khanna,"Bhamini Khanna has 25 years of experience in Environmental Law, Medical Law, and Constitutional Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 373.75698545148737 USD per hour,He takes 110.2805904896149 Avg Days for Disposal,"He speaks: Marathi, Marathi and Kannada","He practices at Sarraf-Venkatesh, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Eva Vyas,"Eva Vyas has 22 years of experience in Corporate Law, Family Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 434.55589881468836 USD per hour,He takes 121.49111280753763 Avg Days for Disposal,"He speaks: Telugu, Marathi and Assamese","He practices at Kakar-Bajaj, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.
Alia Shan,"Alia Shan has 15 years of experience in Real Estate Law, Media and Entertainment Law, and Real Estate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 165.62853477881146 USD per hour,He takes 89.38127806531196 Avg Days for Disposal,"He speaks: Malayalam, Bengali and Punjabi","He practices at Shroff-Singh, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Reyansh Sharaf,"Reyansh Sharaf has 24 years of experience in Banking and Finance Law, Labor Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 59.40928055085574 USD per hour,He takes 122.38681731904938 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Odia","He practices at Keer Ltd, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Individuals.
Divyansh Kashyap,"Divyansh Kashyap has 11 years of experience in Civil Law, Labor Law, and Labor Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 150.39050830041012 USD per hour,He takes 91.36972092917024 Avg Days for Disposal,"He speaks: Assamese, Marathi and Hindi","He practices at Bhardwaj Group, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Dhruv Solanki,"Dhruv Solanki has 16 years of experience in Tax Law, Intellectual Property Law, and Real Estate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 75.43206085854081 USD per hour,He takes 84.29316143750474 Avg Days for Disposal,"He speaks: Bengali, Tamil and Telugu","He practices at Bhasin and Sons, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Diya Korpal,"Diya Korpal has 29 years of experience in Real Estate Law, Environmental Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 96.52772148351869 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Assamese and Assamese","He practices at Bath-Iyer, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Anika Shere,"Anika Shere has 17 years of experience in Family Law, Intellectual Property Law, and Consumer Protection Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 244.17865393143907 USD per hour,He takes 114.55623611989114 Avg Days for Disposal,"He speaks: Odia, Tamil and Marathi","He practices at Loyal-Majumdar, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Fateh Bhatia,"Fateh Bhatia has 26 years of experience in Civil Law, Constitutional Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 153.46326688773468 USD per hour,He takes 78.29784177918343 Avg Days for Disposal,"He speaks: Tamil, Tamil and Gujarati","He practices at Comar-Suri, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Yuvraj  Basak,"Yuvraj  Basak has 4 years of experience in Intellectual Property Law, Intellectual Property Law, and Immigration Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 282.17564533644054 USD per hour,He takes 101.0290396496248 Avg Days for Disposal,"He speaks: Marathi, Marathi and Urdu","He practices at Bera, Shah and Chakraborty, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Jiya Golla,"Jiya Golla has 1 years of experience in Corporate Law, Criminal Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 164.07218896573568 USD per hour,He takes 81.61254247411188 Avg Days for Disposal,"He speaks: Tamil, Hindi and Punjabi","He practices at Subramanian, Venkatesh and Krish, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Miraya Toor,"Miraya Toor has 8 years of experience in Intellectual Property Law, Real Estate Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 473.24178549632643 USD per hour,He takes 83.09539856138456 Avg Days for Disposal,"He speaks: Odia, Punjabi and Punjabi","He practices at Acharya-Taneja, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Vanya Gaba,"Vanya Gaba has 17 years of experience in Environmental Law, Human Rights Law, and Real Estate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 457.674785566819 USD per hour,He takes 105.4537454095435 Avg Days for Disposal,"He speaks: Assamese, Kannada and Malayalam","He practices at Dey, Behl and Datta, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Onkar Dua,"Onkar Dua has 3 years of experience in Medical Law, Civil Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 305.06274725470973 USD per hour,He takes 84.2994473056597 Avg Days for Disposal,"He speaks: Gujarati, Telugu and Hindi","He practices at Zacharia Group, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Indranil Madan,"Indranil Madan has 29 years of experience in Intellectual Property Law, Human Rights Law, and Criminal Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 209.49079639432378 USD per hour,He takes 83.9280693086956 Avg Days for Disposal,"He speaks: Kannada, Bengali and Marathi","He practices at Sama Group, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Priyansh Bajwa,"Priyansh Bajwa has 20 years of experience in Consumer Protection Law, Human Rights Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 221.516096915631 USD per hour,He takes 106.9920704576221 Avg Days for Disposal,"He speaks: Marathi, Odia and Urdu","He practices at Bhargava-Hari, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Sara Thaker,"Sara Thaker has 15 years of experience in Immigration Law, Family Law, and Real Estate Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 235.33352741502364 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Malayalam, Gujarati and Telugu","He practices at Badami, Badami and Bhargava, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Amani Ranganathan,"Amani Ranganathan has 15 years of experience in Real Estate Law, Labor Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 377.4106949607248 USD per hour,He takes 99.6703470492635 Avg Days for Disposal,"He speaks: Kannada, Odia and Bengali","He practices at Boase-Bhat, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Jivika Shroff,"Jivika Shroff has 24 years of experience in Tax Law, Constitutional Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 253.23754798347704 USD per hour,He takes 80.17845336564076 Avg Days for Disposal,"He speaks: Urdu, Bengali and Bengali","He practices at Subramaniam-Vora, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Aradhya Shanker,"Aradhya Shanker has 22 years of experience in Consumer Protection Law, Constitutional Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 435.52847592765386 USD per hour,He takes 82.34087251053631 Avg Days for Disposal,"He speaks: Tamil, Odia and Punjabi","He practices at Ram LLC, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Divij Hayer,"Divij Hayer has 14 years of experience in Medical Law, Civil Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 474.84265366866407 USD per hour,He takes 91.19872895610057 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Assamese","He practices at Basu LLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Kabir Shan,"Kabir Shan has 26 years of experience in Criminal Law, Real Estate Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 201.17576902052022 USD per hour,He takes 94.81395092888486 Avg Days for Disposal,"He speaks: Gujarati, Odia and Assamese","He practices at Hans Inc, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Anahita Mammen,"Anahita Mammen has 28 years of experience in Tax Law, Family Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 302.31251661905605 USD per hour,He takes 75.18201134790343 Avg Days for Disposal,"He speaks: Urdu, Malayalam and Marathi","He practices at Sur-Raval, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Samiha Ben,"Samiha Ben has 23 years of experience in Intellectual Property Law, Corporate Law, and Environmental Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 92.775441574654 USD per hour,He takes 100.84556909369796 Avg Days for Disposal,"He speaks: Telugu, Odia and Hindi","He practices at Gera Group, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Ahana  Samra,"Ahana  Samra has 14 years of experience in Family Law, Consumer Protection Law, and Family Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 140.21107149486153 USD per hour,He takes 91.28269994459399 Avg Days for Disposal,"He speaks: Tamil, Punjabi and Punjabi","He practices at Deshmukh Ltd, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Divyansh Sekhon,"Divyansh Sekhon has 24 years of experience in Human Rights Law, Intellectual Property Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 236.05959501957204 USD per hour,He takes 64.26437522042806 Avg Days for Disposal,"He speaks: Odia, Punjabi and Bengali","He practices at Rao-Dayal, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Navya Hayer,"Navya Hayer has 2 years of experience in Corporate Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 142.79122215580048 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Gujarati, Marathi and Punjabi","He practices at Dash LLC, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Yuvaan Walia,"Yuvaan Walia has 13 years of experience in Banking and Finance Law, Consumer Protection Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 444.4522208549229 USD per hour,He takes 82.43806989522504 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Bengali","He practices at Mann-Sampath, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Purab Datta,"Purab Datta has 26 years of experience in Constitutional Law, Immigration Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 121.22881522659414 USD per hour,He takes 88.90713466738417 Avg Days for Disposal,"He speaks: Marathi, Telugu and Marathi","He practices at Agate-Vasa, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Individuals.
Khushi Johal,"Khushi Johal has 14 years of experience in Tax Law, Consumer Protection Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 255.04736969889137 USD per hour,He takes 118.33918193255994 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Marathi","He practices at Rattan, Tank and Rau, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Nehmat Behl,"Nehmat Behl has 27 years of experience in Banking and Finance Law, Constitutional Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 322.56465820694405 USD per hour,He takes 93.57256959209442 Avg Days for Disposal,"He speaks: Tamil, Telugu and Hindi","He practices at Reddy Ltd, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Samarth Das,"Samarth Das has 24 years of experience in Banking and Finance Law, Intellectual Property Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 361.33875867238 USD per hour,He takes 77.38842165152062 Avg Days for Disposal,"He speaks: Malayalam, Malayalam and Gujarati","He practices at Raval, Thaman and Rama, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Indrans Upadhyay,"Indrans Upadhyay has 19 years of experience in Intellectual Property Law, Intellectual Property Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 222.38121637692802 USD per hour,He takes 93.30946206460744 Avg Days for Disposal,"He speaks: Bengali, Odia and Gujarati","He practices at Ranganathan-Ahuja, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
